Carregando closes (756d) de 37 tickers...
EQTL3-TAEE11       0.2439    0.882      n/a         no         no


==========================================================================================
SUMARIO — pares com p<0.05 + half_life em [5, 50] dias (faixa operacional R3.2.B)
==========================================================================================
  [                varejo] AMER3-MGLU3 lb=756d p=0.0000 hl=28.2d
  [                varejo] AMER3-RENT3 lb=756d p=0.0001 hl=29.4d
  [                varejo] AMER3-PETZ3 lb=756d p=0.0001 hl=29.4d
  [                varejo] AMER3-LREN3 lb=756d p=0.0002 hl=30.3d
  [                varejo] AMER3-PETZ3 lb=252d p=0.0005 hl=6.5d
  [        papel_celulose] KLBN11-SUZB3 lb=252d p=0.0038 hl=7.2d
  [  mineracao_metalurgia] CSNA3-USIM5 lb=756d p=0.0099 hl=29.4d
  [                varejo] AMER3-RENT3 lb=252d p=0.0102 hl=8.6d
  [        papel_celulose] KLBN11-SUZB3 lb=756d p=0.0142 hl=26.6d
  [        papel_celulose] KLBN11-SUZB3 lb=504d p=0.0167 hl=16.6d
  [                bancos] BBDC4-BPAC11 lb=504d p=0.0309 hl=15.8d
  [             alimentos] JBSS3-MRFG3 lb=504d p=0.0376 hl=24.3d
  [              petroleo] PRIO3-RECV3 lb=504d p=0.0378 hl=16.7d
  [                bancos] BBDC4-BPAC11 lb=252d p=0.0407 hl=8.8d
  [  mineracao_metalurgia] CMIN3-VALE3 lb=504d p=0.0452 hl=26.9d
  [              petroleo] RAPT4-RECV3 lb=504d p=0.0483 hl=21.7d

--- pares borderline (p<0.10, p>=0.05) — re-test em janela maior ---
  (nenhum)


Total: 16 cointegrados @0.05, 0 adicionais @0.10, 16 tradeable (hl em [5,50]).
